LapNumber,HAM,VER,Delta_Lap
1.0,100.664,97.167,3.497
2.0,94.361,93.433,0.9279999999999973
3.0,93.662,92.73,0.9320000000000022
4.0,93.086,92.78,0.3059999999999974
5.0,93.718,92.582,1.13600000000001
6.0,94.556,93.027,1.5289999999999964
7.0,93.328,93.1,0.22800000000000864
8.0,93.483,92.884,0.5990000000000038
9.0,93.331,92.822,0.5090000000000003
10.0,93.624,92.594,1.0300000000000011
11.0,93.519,92.597,0.9220000000000113
12.0,93.908,92.687,1.2210000000000036
13.0,93.28,92.678,0.6020000000000039
14.0,93.324,93.046,0.2779999999999916
15.0,93.156,92.99,0.16600000000001103
16.0,92.931,92.808,0.12299999999999045
17.0,93.12,92.603,0.5170000000000101
18.0,93.313,92.507,0.8059999999999974
19.0,93.201,92.338,0.8629999999999995
20.0,92.956,92.295,0.6610000000000014
21.0,92.779,92.494,0.2849999999999966
22.0,92.821,92.184,0.6370000000000005
23.0,92.974,92.272,0.7019999999999982
24.0,92.703,92.35,0.35300000000000864
25.0,93.087,92.295,0.7920000000000016
26.0,92.769,92.276,0.4930000000000092
27.0,92.714,92.138,0.5759999999999934
28.0,92.32,92.215,0.10499999999998977
29.0,92.155,92.251,-0.09600000000000364
30.0,92.246,92.363,-0.11700000000000443
31.0,92.744,92.388,0.35599999999999454
32.0,95.161,92.21,2.9510000000000076
33.0,123.496,118.611,4.884999999999991
34.0,,,
35.0,147.418,147.771,-0.3529999999999802
36.0,146.619,146.545,0.07400000000001228
37.0,145.19,143.835,1.3549999999999898
38.0,140.046,141.674,-1.6280000000000143
39.0,91.427,90.348,1.0790000000000077
40.0,91.279,90.547,0.7319999999999993
41.0,90.673,90.688,-0.015000000000000568
42.0,91.042,90.275,0.7669999999999959
43.0,90.545,90.535,0.010000000000005116
44.0,91.589,90.648,0.9410000000000025
45.0,91.359,91.342,0.016999999999995907
46.0,91.559,91.114,0.4449999999999932
47.0,91.248,91.148,0.10000000000000853
48.0,91.152,91.4,-0.24800000000000466
49.0,91.286,91.218,0.06799999999999784
50.0,91.526,91.292,0.23399999999999466
51.0,91.703,91.397,0.3059999999999974
52.0,91.823,90.975,0.847999999999999
