DriverNumber,Abbreviation,TeamName,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,FreshTyre,TrackStatus,PitOutTime,PitInTime,IsPersonalBest,LapTimeSeconds
1,VER,Red Bull Racing,1.0,0 days 00:01:37.167000,,0 days 00:00:38.051000,0 days 00:00:26.073000,1.0,MEDIUM,1.0,True,1,,,False,97.167
1,VER,Red Bull Racing,2.0,0 days 00:01:33.433000,0 days 00:00:29.616000,0 days 00:00:38,0 days 00:00:25.817000,1.0,MEDIUM,2.0,True,1,,,True,93.433
1,VER,Red Bull Racing,3.0,0 days 00:01:32.730000,0 days 00:00:29.380000,0 days 00:00:37.690000,0 days 00:00:25.660000,1.0,MEDIUM,3.0,True,1,,,True,92.73
1,VER,Red Bull Racing,4.0,0 days 00:01:32.780000,0 days 00:00:29.407000,0 days 00:00:37.650000,0 days 00:00:25.723000,1.0,MEDIUM,4.0,True,1,,,False,92.78
1,VER,Red Bull Racing,5.0,0 days 00:01:32.582000,0 days 00:00:29.338000,0 days 00:00:37.403000,0 days 00:00:25.841000,1.0,MEDIUM,5.0,True,1,,,True,92.582
1,VER,Red Bull Racing,6.0,0 days 00:01:33.027000,0 days 00:00:29.667000,0 days 00:00:37.543000,0 days 00:00:25.817000,1.0,MEDIUM,6.0,True,1,,,False,93.027
1,VER,Red Bull Racing,7.0,0 days 00:01:33.100000,0 days 00:00:29.726000,0 days 00:00:37.612000,0 days 00:00:25.762000,1.0,MEDIUM,7.0,True,1,,,False,93.1
1,VER,Red Bull Racing,8.0,0 days 00:01:32.884000,0 days 00:00:29.625000,0 days 00:00:37.578000,0 days 00:00:25.681000,1.0,MEDIUM,8.0,True,1,,,False,92.884
1,VER,Red Bull Racing,9.0,0 days 00:01:32.822000,0 days 00:00:29.780000,0 days 00:00:37.489000,0 days 00:00:25.553000,1.0,MEDIUM,9.0,True,1,,,False,92.822
1,VER,Red Bull Racing,10.0,0 days 00:01:32.594000,0 days 00:00:29.660000,0 days 00:00:37.373000,0 days 00:00:25.561000,1.0,MEDIUM,10.0,True,1,,,False,92.594
1,VER,Red Bull Racing,11.0,0 days 00:01:32.597000,0 days 00:00:29.586000,0 days 00:00:37.463000,0 days 00:00:25.548000,1.0,MEDIUM,11.0,True,1,,,False,92.597
1,VER,Red Bull Racing,12.0,0 days 00:01:32.687000,0 days 00:00:29.742000,0 days 00:00:37.389000,0 days 00:00:25.556000,1.0,MEDIUM,12.0,True,1,,,False,92.687
1,VER,Red Bull Racing,13.0,0 days 00:01:32.678000,0 days 00:00:29.703000,0 days 00:00:37.319000,0 days 00:00:25.656000,1.0,MEDIUM,13.0,True,1,,,False,92.678
1,VER,Red Bull Racing,14.0,0 days 00:01:33.046000,0 days 00:00:30.031000,0 days 00:00:37.422000,0 days 00:00:25.593000,1.0,MEDIUM,14.0,True,1,,,False,93.046
1,VER,Red Bull Racing,15.0,0 days 00:01:32.990000,0 days 00:00:29.960000,0 days 00:00:37.469000,0 days 00:00:25.561000,1.0,MEDIUM,15.0,True,1,,,False,92.99
1,VER,Red Bull Racing,16.0,0 days 00:01:32.808000,0 days 00:00:29.914000,0 days 00:00:37.373000,0 days 00:00:25.521000,1.0,MEDIUM,16.0,True,1,,,False,92.808
1,VER,Red Bull Racing,17.0,0 days 00:01:32.603000,0 days 00:00:29.803000,0 days 00:00:37.276000,0 days 00:00:25.524000,1.0,MEDIUM,17.0,True,1,,,False,92.603
1,VER,Red Bull Racing,18.0,0 days 00:01:32.507000,0 days 00:00:29.877000,0 days 00:00:37.283000,0 days 00:00:25.347000,1.0,MEDIUM,18.0,True,1,,,True,92.507
1,VER,Red Bull Racing,19.0,0 days 00:01:32.338000,0 days 00:00:29.799000,0 days 00:00:37.240000,0 days 00:00:25.299000,1.0,MEDIUM,19.0,True,1,,,True,92.338
1,VER,Red Bull Racing,20.0,0 days 00:01:32.295000,0 days 00:00:29.772000,0 days 00:00:37.273000,0 days 00:00:25.250000,1.0,MEDIUM,20.0,True,1,,,True,92.295
1,VER,Red Bull Racing,21.0,0 days 00:01:32.494000,0 days 00:00:29.903000,0 days 00:00:37.239000,0 days 00:00:25.352000,1.0,MEDIUM,21.0,True,1,,,False,92.494
1,VER,Red Bull Racing,22.0,0 days 00:01:32.184000,0 days 00:00:29.664000,0 days 00:00:37.134000,0 days 00:00:25.386000,1.0,MEDIUM,22.0,True,1,,,True,92.184
1,VER,Red Bull Racing,23.0,0 days 00:01:32.272000,0 days 00:00:29.759000,0 days 00:00:37.172000,0 days 00:00:25.341000,1.0,MEDIUM,23.0,True,1,,,False,92.272
1,VER,Red Bull Racing,24.0,0 days 00:01:32.350000,0 days 00:00:29.872000,0 days 00:00:37.108000,0 days 00:00:25.370000,1.0,MEDIUM,24.0,True,1,,,False,92.35
1,VER,Red Bull Racing,25.0,0 days 00:01:32.295000,0 days 00:00:29.912000,0 days 00:00:37.183000,0 days 00:00:25.200000,1.0,MEDIUM,25.0,True,1,,,False,92.295
1,VER,Red Bull Racing,26.0,0 days 00:01:32.276000,0 days 00:00:29.752000,0 days 00:00:37.242000,0 days 00:00:25.282000,1.0,MEDIUM,26.0,True,1,,,False,92.276
1,VER,Red Bull Racing,27.0,0 days 00:01:32.138000,0 days 00:00:29.668000,0 days 00:00:37.223000,0 days 00:00:25.247000,1.0,MEDIUM,27.0,True,1,,,True,92.138
1,VER,Red Bull Racing,28.0,0 days 00:01:32.215000,0 days 00:00:29.826000,0 days 00:00:37.244000,0 days 00:00:25.145000,1.0,MEDIUM,28.0,True,1,,,False,92.215
1,VER,Red Bull Racing,29.0,0 days 00:01:32.251000,0 days 00:00:29.871000,0 days 00:00:37.266000,0 days 00:00:25.114000,1.0,MEDIUM,29.0,True,1,,,False,92.251
1,VER,Red Bull Racing,30.0,0 days 00:01:32.363000,0 days 00:00:29.844000,0 days 00:00:37.229000,0 days 00:00:25.290000,1.0,MEDIUM,30.0,True,1,,,False,92.363
1,VER,Red Bull Racing,31.0,0 days 00:01:32.388000,0 days 00:00:29.905000,0 days 00:00:37.230000,0 days 00:00:25.253000,1.0,MEDIUM,31.0,True,1,,,False,92.388
1,VER,Red Bull Racing,32.0,0 days 00:01:32.210000,0 days 00:00:29.879000,0 days 00:00:37.136000,0 days 00:00:25.195000,1.0,MEDIUM,32.0,True,1,,,False,92.21
1,VER,Red Bull Racing,33.0,0 days 00:01:58.611000,0 days 00:00:38.163000,0 days 00:00:50.088000,0 days 00:00:30.360000,1.0,MEDIUM,33.0,True,1264,,0 days 01:53:28.742000,False,118.611
1,VER,Red Bull Racing,34.0,,0 days 00:01:11.057000,0 days 00:01:05.568000,0 days 00:00:41.846000,2.0,SOFT,4.0,False,4,0 days 01:53:57.789000,,False,
1,VER,Red Bull Racing,35.0,0 days 00:02:27.771000,0 days 00:00:48.617000,0 days 00:00:59.552000,0 days 00:00:39.602000,2.0,SOFT,5.0,False,4,,,False,147.771
1,VER,Red Bull Racing,36.0,0 days 00:02:26.545000,0 days 00:00:52.402000,0 days 00:00:57.524000,0 days 00:00:36.619000,2.0,SOFT,6.0,False,4,,,False,146.545
