LapNumber,Abbreviation,Position
1.0,VER,2
2.0,VER,2
3.0,VER,2
4.0,VER,2
5.0,VER,1
6.0,VER,1
7.0,VER,1
8.0,VER,1
9.0,VER,1
10.0,VER,1
11.0,VER,1
12.0,VER,1
13.0,VER,1
14.0,VER,1
15.0,VER,1
16.0,VER,1
17.0,VER,1
18.0,VER,1
19.0,VER,1
20.0,VER,1
21.0,VER,1
22.0,VER,1
23.0,VER,1
24.0,VER,1
25.0,VER,1
26.0,VER,1
27.0,VER,1
28.0,VER,1
29.0,VER,1
30.0,VER,1
31.0,VER,1
32.0,VER,1
33.0,VER,1
34.0,VER,1
35.0,VER,1
36.0,VER,1
37.0,VER,1
38.0,VER,1
39.0,VER,1
40.0,VER,1
41.0,VER,1
42.0,VER,1
43.0,VER,1
44.0,VER,1
45.0,VER,1
46.0,VER,1
47.0,VER,1
48.0,VER,1
49.0,VER,1
50.0,VER,1
51.0,VER,1
52.0,VER,1
1.0,HAM,8
2.0,HAM,8
3.0,HAM,8
4.0,HAM,8
5.0,HAM,8
6.0,HAM,8
7.0,HAM,7
8.0,HAM,7
9.0,HAM,7
10.0,HAM,7
11.0,HAM,7
12.0,HAM,7
13.0,HAM,7
14.0,HAM,7
15.0,HAM,7
16.0,HAM,7
17.0,HAM,7
18.0,HAM,7
19.0,HAM,6
20.0,HAM,6
21.0,HAM,6
22.0,HAM,6
23.0,HAM,6
24.0,HAM,6
25.0,HAM,6
26.0,HAM,6
27.0,HAM,5
28.0,HAM,5
29.0,HAM,4
30.0,HAM,3
31.0,HAM,3
32.0,HAM,3
33.0,HAM,3
34.0,HAM,3
35.0,HAM,3
36.0,HAM,3
37.0,HAM,3
38.0,HAM,3
39.0,HAM,3
40.0,HAM,3
41.0,HAM,3
42.0,HAM,3
43.0,HAM,3
44.0,HAM,3
45.0,HAM,3
46.0,HAM,3
47.0,HAM,3
48.0,HAM,3
49.0,HAM,3
50.0,HAM,3
51.0,HAM,3
52.0,HAM,3
